Country,Happiness Rank,Score,Year
Switzerland,1,7.587,2015
Iceland,2,7.561
Denmark,3,7.527
Norway,4,7.522
Canada,5,7.427
Finland,6,7.406
Netherlands,7,7.378
Sweden,8,7.364
New Zealand,9,7.286
Australia,10,7.284
Israel,11,7.278
Costa Rica,12,7.226
Austria,13,7.2
Mexico,14,7.187
United States,15,7.119
Brazil,16,6.983
Luxembourg,17,6.946
Ireland,18,6.94
Belgium,19,6.937
United Arab Emirates,20,6.901
United Kingdom,21,6.867
Oman,22,6.853
Venezuela,23,6.81
Singapore,24,6.798
Panama,25,6.786
Germany,26,6.75
Chile,27,6.67
Qatar,28,6.611
France,29,6.575
Argentina,30,6.574
Czech Republic,31,6.505
Uruguay,32,6.485
Colombia,33,6.477
Thailand,34,6.455
Saudi Arabia,35,6.411
Spain,36,6.329
Malta,37,6.302
Taiwan,38,6.298
Kuwait,39,6.295
Suriname,40,6.269
Trinidad and Tobago,41,6.168
El Salvador,42,6.13
Guatemala,43,6.123
Uzbekistan,44,6.003
Slovakia,45,5.995
Japan,46,5.987
South Korea,47,5.984
Ecuador,48,5.975
Bahrain,49,5.96
Italy,50,5.948
Bolivia,51,5.89
Moldova,52,5.889
Paraguay,53,5.878
Kazakhstan,54,5.855
Slovenia,55,5.848
Lithuania,56,5.833
Nicaragua,57,5.828
Peru,58,5.824
Belarus,59,5.813
Poland,60,5.791
Malaysia,61,5.77
Croatia,62,5.759
Libya,63,5.754
Russia,64,5.716
Jamaica,65,5.709
North Cyprus,66,5.695
Cyprus,67,5.689
Algeria,68,5.605
Kosovo,69,5.589
Turkmenistan,70,5.548
Mauritius,71,5.477
Hong Kong,72,5.474
Estonia,73,5.429
Indonesia,74,5.399
Vietnam,75,5.36
Turkey,76,5.332
Kyrgyzstan,77,5.286
Nigeria,78,5.268
Bhutan,79,5.253
Azerbaijan,80,5.212
Pakistan,81,5.194
Jordan,82,5.192
Montenegro,82,5.192
China,84,5.14
Zambia,85,5.129
Romania,86,5.124
Serbia,87,5.123
Portugal,88,5.102
Latvia,89,5.098
Philippines,90,5.073
Somaliland region,91,5.057
Morocco,92,5.013
Macedonia,93,5.007
Mozambique,94,4.971
Albania,95,4.959
Bosnia and Herzegovina,96,4.949
Lesotho,97,4.898
Dominican Republic,98,4.885
Laos,99,4.876
Mongolia,100,4.874
Swaziland,101,4.867
Greece,102,4.857
Lebanon,103,4.839
Hungary,104,4.8
Honduras,105,4.788
Tajikistan,106,4.786
Tunisia,107,4.739
Palestinian Territories,108,4.715
Bangladesh,109,4.694
Iran,110,4.686
Ukraine,111,4.681
Iraq,112,4.677
South Africa,113,4.642
Ghana,114,4.633
Zimbabwe,115,4.61
Liberia,116,4.571
India,117,4.565
Sudan,118,4.55
Haiti,119,4.518
Congo (Kinshasa),120,4.517
Nepal,121,4.514
Ethiopia,122,4.512
Sierra Leone,123,4.507
Mauritania,124,4.436
Kenya,125,4.419
Djibouti,126,4.369
Armenia,127,4.35
Botswana,128,4.332
Myanmar,129,4.307
Georgia,130,4.297
Malawi,131,4.292
Sri Lanka,132,4.271
Cameroon,133,4.252
Bulgaria,134,4.218
Egypt,135,4.194
Yemen,136,4.077
Angola,137,4.033
Mali,138,3.995
Congo (Brazzaville),139,3.989
Comoros,140,3.956
Uganda,141,3.931
Senegal,142,3.904
Gabon,143,3.896
Niger,144,3.845
Cambodia,145,3.819
Tanzania,146,3.781
Madagascar,147,3.681
Central African Republic,148,3.678
Chad,149,3.667
Guinea,150,3.656
Ivory Coast,151,3.655
Burkina Faso,152,3.587
Afghanistan,153,3.575
Rwanda,154,3.465
Benin,155,3.34
Syria,156,3.006
Burundi,157,2.905
Togo,158,2.839
,,
Country,Happiness Rank,Score,Year
Denmark,1,7.526,2016
Switzerland,2,7.509
Iceland,3,7.501
Norway,4,7.498
Finland,5,7.413
Canada,6,7.404
Netherlands,7,7.339
New Zealand,8,7.334
Australia,9,7.313
Sweden,10,7.291
Israel,11,7.267
Austria,12,7.119
United States,13,7.104
Costa Rica,14,7.087
Puerto Rico,15,7.039
Germany,16,6.994
Brazil,17,6.952
Belgium,18,6.929
Ireland,19,6.907
Luxembourg,20,6.871
Mexico,21,6.778
Singapore,22,6.739
United Kingdom,23,6.725
Chile,24,6.705
Panama,25,6.701
Argentina,26,6.65
Czech Republic,27,6.596
United Arab Emirates,28,6.573
Uruguay,29,6.545
Malta,30,6.488
Colombia,31,6.481
France,32,6.478
Thailand,33,6.474
Saudi Arabia,34,6.379
Taiwan,34,6.379
Qatar,36,6.375
Spain,37,6.361
Algeria,38,6.355
Guatemala,39,6.324
Suriname,40,6.269
Kuwait,41,6.239
Bahrain,42,6.218
Trinidad and Tobago,43,6.168
Venezuela,44,6.084
Slovakia,45,6.078
El Salvador,46,6.068
Malaysia,47,6.005
Nicaragua,48,5.992
Uzbekistan,49,5.987
Italy,50,5.977
Ecuador,51,5.976
Belize,52,5.956
Japan,53,5.921
Kazakhstan,54,5.919
Moldova,55,5.897
Russia,56,5.856
Poland,57,5.835
South Korea,57,5.835
Bolivia,59,5.822
Lithuania,60,5.813
Belarus,61,5.802
North Cyprus,62,5.771
Slovenia,63,5.768
Peru,64,5.743
Turkmenistan,65,5.658
Mauritius,66,5.648
Libya,67,5.615
Latvia,68,5.56
Cyprus,69,5.546
Paraguay,70,5.538
Romania,71,5.528
Estonia,72,5.517
Jamaica,73,5.51
Croatia,74,5.488
Hong Kong,75,5.458
Somalia,76,5.44
Kosovo,77,5.401
Turkey,78,5.389
Indonesia,79,5.314
Jordan,80,5.303
Azerbaijan,81,5.291
Philippines,82,5.279
China,83,5.245
Bhutan,84,5.196
Kyrgyzstan,85,5.185
Serbia,86,5.177
Bosnia and Herzegovina,87,5.163
Montenegro,88,5.161
Dominican Republic,89,5.155
Morocco,90,5.151
Hungary,91,5.145
Pakistan,92,5.132
Lebanon,93,5.129
Portugal,94,5.123
Macedonia,95,5.121
Vietnam,96,5.061
Somaliland Region,97,5.057
Tunisia,98,5.045
Greece,99,5.033
Tajikistan,100,4.996
Mongolia,101,4.907
Laos,102,4.876
Nigeria,103,4.875
Honduras,104,4.871
Iran,105,4.813
Zambia,106,4.795
Nepal,107,4.793
Palestinian Territories,108,4.754
Albania,109,4.655
Bangladesh,110,4.643
Sierra Leone,111,4.635
Iraq,112,4.575
Namibia,113,4.574
Cameroon,114,4.513
Ethiopia,115,4.508
South Africa,116,4.459
Sri Lanka,117,4.415
India,118,4.404
Myanmar,119,4.395
Egypt,120,4.362
Armenia,121,4.36
Kenya,122,4.356
Ukraine,123,4.324
Ghana,124,4.276
Congo (Kinshasa),125,4.272
Georgia,126,4.252
Congo (Brazzaville),127,4.236
Senegal,128,4.219
Bulgaria,129,4.217
Mauritania,130,4.201
Zimbabwe,131,4.193
Malawi,132,4.156
Sudan,133,4.139
Gabon,134,4.121
Mali,135,4.073
Haiti,136,4.028
Botswana,137,3.974
Comoros,138,3.956
Ivory Coast,139,3.916
Cambodia,140,3.907
Angola,141,3.866
Niger,142,3.856
South Sudan,143,3.832
Chad,144,3.763
Burkina Faso,145,3.739
Uganda,145,3.739
Yemen,147,3.724
Madagascar,148,3.695
Tanzania,149,3.666
Liberia,150,3.622
Guinea,151,3.607
Rwanda,152,3.515
Benin,153,3.484
Afghanistan,154,3.36
Togo,155,3.303
Syria,156,3.069
Burundi,157,2.905
,,
Country,Happiness Rank,Score,Year
Norway,1,753.700.017.929.077,2017
Denmark,2,752.199.983.596.802
Iceland,3,750.400.018.692.017
Switzerland,4,749.399.995.803.833
Finland,5,74.689.998.626.709
Netherlands,6,73.769.998.550.415
Canada,7,731.599.998.474.121
New Zealand,8,731.400.012.969.971
Sweden,9,728.399.991.989.136
Australia,10,728.399.991.989.136
Israel,11,721.299.982.070.923
Costa Rica,12,70.789.999.961.853
Austria,13,700.600.004.196.167
United States,14,699.300.003.051.758
Ireland,15,697.700.023.651.123
Germany,16,695.100.021.362.305
Belgium,17,689.099.979.400.635
Luxembourg,18,686.299.991.607.666
United Kingdom,19,671.400.022.506.714
Chile,20,665.199.995.040.894
United Arab Emirates,21,664.799.976.348.877
Brazil,22,663.500.022.888.184
Czech Republic,23,660.900.020.599.365
Argentina,24,659.899.997.711.182
Mexico,25,657.800.006.866.455
Singapore,26,657.200.002.670.288
Malta,27,652.699.995.040.894
Uruguay,28,64.539.999.961.853
Guatemala,29,64.539.999.961.853
Panama,30,64.520.001.411.438
France,31,644.199.991.226.196
Thailand,32,642.399.978.637.695
Taiwan Province of China,33,642.199.993.133.545
Spain,34,640.299.987.792.969
Qatar,35,6.375
Colombia,36,635.699.987.411.499
Saudi Arabia,37,63.439.998.626.709
Trinidad and Tobago,38,616.800.022.125.244
Kuwait,39,610.500.001.907.349
Slovakia,40,609.800.004.959.106
Bahrain,41,608.699.989.318.848
Malaysia,42,608.400.011.062.622
Nicaragua,43,607.100.009.918.213
Ecuador,44,600.799.989.700.317
El Salvador,45,600.299.978.256.226
Poland,46,597.300.004.959.106
Uzbekistan,47,597.100.019.454.956
Italy,48,596.400.022.506.714
Russia,49,596.299.982.070.923
Belize,50,595.599.985.122.681
Japan,51,592.000.007.629.395
Lithuania,52,590.199.995.040.894
Algeria,53,587.200.021.743.774
Latvia,54,584.999.990.463.257
South Korea,55,583.799.982.070.923
Moldova,56,583.799.982.070.923
Romania,57,582.499.980.926.514
Bolivia,58,582.299.995.422.363
Turkmenistan,59,582.200.002.670.288
Kazakhstan,60,581.899.976.730.347
North Cyprus,61,580.999.994.277.954
Slovenia,62,575.799.989.700.317
Peru,63,571.500.015.258.789
Mauritius,64,562.900.018.692.017
Cyprus,65,562.099.981.307.983
Estonia,66,561.100.006.103.516
Belarus,67,556.899.976.730.347
Libya,68,552.500.009.536.743
Turkey,69,45.051
Paraguay,70,549.300.003.051.758
"Hong Kong S.A.R., China",71,547.200.012.207.031
Philippines,72,542.999.982.833.862
Serbia,73,539.499.998.092.651
Jordan,74,533.599.996.566.772
Hungary,75,532.399.988.174.438
Jamaica,76,531.099.987.030.029
Croatia,77,529.300.022.125.244
Kosovo,78,527.899.980.545.044
China,79,527.299.976.348.877
Pakistan,80,526.900.005.340.576
Indonesia,81,526.200.008.392.334
Venezuela,82,5.25
Montenegro,83,523.699.998.855.591
Morocco,84,52.350.001.335.144
Azerbaijan,85,523.400.020.599.365
Dominican Republic,86,523.000.001.907.349
Greece,87,522.700.023.651.123
Lebanon,88,522.499.990.463.257
Portugal,89,519.500.017.166.138
Bosnia and Herzegovina,90,518.200.016.021.729
Honduras,91,518.100.023.269.653
Macedonia,92,517.500.019.073.486
Somalia,93,515.100.002.288.818
Vietnam,94,507.399.988.174.438
Nigeria,95,507.399.988.174.438
Tajikistan,96,504.099.988.937.378
Bhutan,97,501.100.015.640.259
Kyrgyzstan,98,500.400.018.692.017
Nepal,99,496.199.989.318.848
Mongolia,100,495.499.992.370.605
South Africa,101,48.289.999.961.853
Tunisia,102,480.499.982.833.862
Palestinian Territories,103,477.500.009.536.743
Egypt,104,47.350.001.335.144
Bulgaria,105,471.400.022.506.714
Sierra Leone,106,470.900.011.062.622
Cameroon,107,469.500.017.166.138
Iran,108,469.199.991.226.196
Albania,109,464.400.005.340.576
Bangladesh,110,460.799.980.163.574
Namibia,111,457.399.988.174.438
Kenya,112,455.299.997.329.712
Mozambique,113,455.000.019.073.486
Myanmar,114,454.500.007.629.395
Senegal,115,453.499.984.741.211
Zambia,116,451.399.993.896.484
Iraq,117,449.700.021.743.774
Gabon,118,446.500.015.258.789
Ethiopia,119,446.000.003.814.697
Sri Lanka,120,444.000.005.722.046
Armenia,121,437.599.992.752.075
India,122,431.500.005.722.046
Mauritania,123,429.199.981.689.453
Congo (Brazzaville),124,429.099.988.937.378
Georgia,125,428.599.977.493.286
Congo (Kinshasa),126,428.000.020.980.835
Mali,127,419.000.005.722.046
Ivory Coast,128,417.999.982.833.862
Cambodia,129,416.800.022.125.244
Sudan,130,413.899.993.896.484
Ghana,131,411.999.988.555.908
Ukraine,132,409.600.019.454.956
Uganda,133,408.099.985.122.681
Burkina Faso,134,403.200.006.484.985
Niger,135,402.799.987.792.969
Malawi,136,397.000.002.861.023
Chad,137,393.600.010.871.887
Zimbabwe,138,3.875
Lesotho,139,380.800.008.773.804
Angola,140,379.500.007.629.395
Afghanistan,141,379.399.991.035.461
Botswana,142,376.600.003.242.493
Benin,143,365.700.006.484.985
Madagascar,144,364.400.005.340.576
Haiti,145,36.029.999.256.134
Yemen,146,359.299.993.515.015
South Sudan,147,359.100.008.010.864
Liberia,148,353.299.999.237.061
Guinea,149,350.699.996.948.242
Togo,150,349.499.988.555.908
Rwanda,151,347.099.995.613.098
Syria,152,346.199.989.318.848
Tanzania,153,334.899.997.711.182
Burundi,154,290.499.997.138.977
Central African Republic,155,269.300.007.820.129
,,
Country,Happiness Rank,Score,Year
Finland,1,7.632,2018
Norway,2,7.594
Denmark,3,7.555
Iceland,4,7.495
Switzerland,5,7.487
Netherlands,6,7.441
Canada,7,7.328
New Zealand,8,7.324
Sweden,9,7.314
Australia,10,7.272
United Kingdom,11,7.190
Austria,12,7.139
Costa Rica,13,7.072
Ireland,14,6.977
Germany,15,6.965
Belgium,16,6.927
Luxembourg,17,6.910
United States,18,6.886
Israel,19,6.814
United Arab Emirates,20,6.774
Czech Republic,21,6.711
Malta,22,6.627
France,23,6.489
Mexico,24,6.488
Chile,25,6.476
Taiwan,26,6.441
Panama,27,6.430
Brazil,28,6.419
Argentina,29,6.388
Guatemala,30,6.382
Uruguay,31,6.379
Qatar,32,6.374
Saudi Arabia,33,6.371
Singapore,34,6.343
Malaysia,35,6.322
Spain,36,6.310
Colombia,37,6.260
Trinidad & Tobago,38,6.192
Slovakia,39,6.173
El Salvador,40,6.167
Nicaragua,41,6.141
Poland,42,6.123
Bahrain,43,6.105
Uzbekistan,44,6.096
Kuwait,45,6.083
Thailand,46,6.072
Italy,47,6.000
Ecuador,48,5.973
Belize,49,5.956
Lithuania,50,5.952
Slovenia,51,5.948
Romania,52,5.945
Latvia,53,5.933
Japan,54,5.915
Mauritius,55,5.891
Jamaica,56,5.890
South Korea,57,5.875
Northern Cyprus,58,5.835
Russia,59,5.810
Kazakhstan,60,5.790
Cyprus,61,5.762
Bolivia,62,5.752
Estonia,63,5.739
Paraguay,64,5.681
Peru,65,5.663
Kosovo,66,5.662
Moldova,67,5.640
Turkmenistan,68,5.636
Hungary,69,5.620
Libya,70,5.566
Philippines,71,5.524
Honduras,72,5.504
Belarus,73,5.483
Turkey,74,5.483
Pakistan,75,5.472
Hong Kong,76,5.430
Portugal,77,5.410
Serbia,78,5.398
Greece,79,5.358
Lebanon,80,5.358
Montenegro,81,5.347
Croatia,82,5.321
Dominican Republic,83,5.302
Algeria,84,5.295
Morocco,85,5.254
China,86,5.246
Azerbaijan,87,5.201
Tajikistan,88,5.199
Macedonia,89,5.185
Jordan,90,5.161
Nigeria,91,5.155
Kyrgyzstan,92,5.131
Bosnia and Herzegovina,93,5.129
Mongolia,94,5.125
Vietnam,95,5.103
Indonesia,96,5.093
Bhutan,97,5.082
Somalia,98,4.982
Cameroon,99,4.975
Bulgaria,100,4.933
Nepal,101,4.880
Venezuela,102,4.806
Gabon,103,4.758
Palestinian Territories,104,4.743
South Africa,105,4.724
Iran,106,4.707
Ivory Coast,107,4.671
Ghana,108,4.657
Senegal,109,4.631
Laos,110,4.623
Tunisia,111,4.592
Albania,112,4.586
Sierra Leone,113,4.571
Congo (Brazzaville),114,4.559
Bangladesh,115,4.500
Sri Lanka,116,4.471
Iraq,117,4.456
Mali,118,4.447
Namibia,119,4.441
Cambodia,120,4.433
Burkina Faso,121,4.424
Egypt,122,4.419
Mozambique,123,4.417
Kenya,124,4.410
Zambia,125,4.377
Mauritania,126,4.356
Ethiopia,127,4.350
Georgia,128,4.340
Armenia,129,4.321
Myanmar,130,4.308
Chad,131,4.301
Congo (Kinshasa),132,4.245
India,133,4.190
Niger,134,4.166
Uganda,135,4.161
Benin,136,4.141
Sudan,137,4.139
Ukraine,138,4.103
Togo,139,3.999
Guinea,140,3.964
Lesotho,141,3.808
Angola,142,3.795
Madagascar,143,3.774
Zimbabwe,144,3.692
Afghanistan,145,3.632
Botswana,146,3.590
Malawi,147,3.587
Haiti,148,3.582
Liberia,149,3.495
Syria,150,3.462
Rwanda,151,3.408
Yemen,152,3.355
Tanzania,153,3.303
South Sudan,154,3.254
Central African Republic,155,3.083
Burundi,156,2.905
,,
Country,Happiness Rank,Score,Year
Finland,1,7.769,2019
Denmark,2,7.600
Norway,3,7.554
Iceland,4,7.494
Netherlands,5,7.488
Switzerland,6,7.480
Sweden,7,7.343
New Zealand,8,7.307
Canada,9,7.278
Austria,10,7.246
Australia,11,7.228
Costa Rica,12,7.167
Israel,13,7.139
Luxembourg,14,7.090
United Kingdom,15,7.054
Ireland,16,7.021
Germany,17,6.985
Belgium,18,6.923
United States,19,6.892
Czech Republic,20,6.852
United Arab Emirates,21,6.825
Malta,22,6.726
Mexico,23,6.595
France,24,6.592
Taiwan,25,6.446
Chile,26,6.444
Guatemala,27,6.436
Saudi Arabia,28,6.375
Qatar,29,6.374
Spain,30,6.354
Panama,31,6.321
Brazil,32,6.300
Uruguay,33,6.293
Singapore,34,6.262
El Salvador,35,6.253
Italy,36,6.223
Bahrain,37,6.199
Slovakia,38,6.198
Trinidad & Tobago,39,6.192
Poland,40,6.182
Uzbekistan,41,6.174
Lithuania,42,6.149
Colombia,43,6.125
Slovenia,44,6.118
Nicaragua,45,6.105
Kosovo,46,6.100
Argentina,47,6.086
Romania,48,6.070
Cyprus,49,6.046
Ecuador,50,6.028
Kuwait,51,6.021
Thailand,52,6.008
Latvia,53,5.940
South Korea,54,5.895
Estonia,55,5.893
Jamaica,56,5.890
Mauritius,57,5.888
Japan,58,5.886
Honduras,59,5.860
Kazakhstan,60,5.809
Bolivia,61,5.779
Hungary,62,5.758
Paraguay,63,5.743
Northern Cyprus,64,5.718
Peru,65,5.697
Portugal,66,5.693
Pakistan,67,5.653
Russia,68,5.648
Philippines,69,5.631
Serbia,70,5.603
Moldova,71,5.529
Libya,72,5.525
Montenegro,73,5.523
Tajikistan,74,5.467
Croatia,75,5.432
Hong Kong,76,5.430
Dominican Republic,77,5.425
Bosnia and Herzegovina,78,5.386
Turkey,79,5.373
Malaysia,80,5.339
Belarus,81,5.323
Greece,82,5.287
Mongolia,83,5.285
North Macedonia,84,5.274
Nigeria,85,5.265
Kyrgyzstan,86,5.261
Turkmenistan,87,5.247
Algeria,88,5.211
Morocco,89,5.208
Azerbaijan,90,5.208
Lebanon,91,5.197
Indonesia,92,5.192
China,93,5.191
Vietnam,94,5.175
Bhutan,95,5.082
Cameroon,96,5.044
Bulgaria,97,5.011
Ghana,98,4.996
Ivory Coast,99,4.944
Nepal,100,4.913
Jordan,101,4.906
Benin,102,4.883
Congo (Brazzaville),103,4.812
Gabon,104,4.799
Laos,105,4.796
South Africa,106,4.722
Albania,107,4.719
Venezuela,108,4.707
Cambodia,109,4.700
Palestinian Territories,110,4.696
Senegal,111,4.681
Somalia,112,4.668
Namibia,113,4.639
Niger,114,4.628
Burkina Faso,115,4.587
Armenia,116,4.559
Iran,117,4.548
Guinea,118,4.534
Georgia,119,4.519
Gambia,120,4.516
Kenya,121,4.509
Mauritania,122,4.490
Mozambique,123,4.466
Tunisia,124,4.461
Bangladesh,125,4.456
Iraq,126,4.437
Congo (Kinshasa),127,4.418
Mali,128,4.390
Sierra Leone,129,4.374
Sri Lanka,130,4.366
Myanmar,131,4.360
Chad,132,4.350
Ukraine,133,4.332
Ethiopia,134,4.286
Swaziland,135,4.212
Uganda,136,4.189
Egypt,137,4.166
Zambia,138,4.107
Togo,139,4.085
India,140,4.015
Liberia,141,3.975
Comoros,142,3.973
Madagascar,143,3.933
Lesotho,144,3.802
Burundi,145,3.775
Zimbabwe,146,3.663
Haiti,147,3.597
Botswana,148,3.488
Syria,149,3.462
Malawi,150,3.410
Yemen,151,3.380
Rwanda,152,3.334
Tanzania,153,3.231
Afghanistan,154,3.203
Central African Republic,155,3.083
South Sudan,156,2.853